Parámetro,Valor,Tiempo (s),Objetivo,Nodos,Brecha (%)
mip.strategy.nodeselect,0.0,280.80354857444763,275240.99995,0,0.0
mip.strategy.nodeselect,1.0,0.015997648239135742,275240.99995,0,0.0
mip.strategy.nodeselect,2.0,0.018000125885009766,275240.99995,0,0.0
mip.strategy.nodeselect,3.0,0.01899886131286621,275240.99995,0,0.0
mip.strategy.variableselect,-1.0,0.018961429595947266,275240.99995,0,0.0
mip.strategy.variableselect,0.0,0.01700139045715332,275240.99995,0,0.0
mip.strategy.variableselect,1.0,0.019997596740722656,275240.99995,0,0.0
mip.strategy.variableselect,2.0,0.020002365112304688,275240.99995,0,0.0
mip.strategy.variableselect,3.0,0.017999887466430664,275240.99995,0,0.0
mip.strategy.variableselect,4.0,0.017002344131469727,275240.99995,0,0.0
preprocessing.presolve,0.0,0.01599717140197754,275240.99995,0,0.0
preprocessing.presolve,1.0,0.01800251007080078,275240.99995,0,0.0
mip.strategy.heuristiceffort,0.0,0.018998146057128906,275240.99995,0,0.0
mip.strategy.heuristiceffort,0.5,0.02199864387512207,275240.99995,0,0.0
mip.strategy.heuristiceffort,1.0,0.016998767852783203,275240.99995,0,0.0
mip.strategy.heuristiceffort,2.0,0.01700115203857422,275240.99995,0,0.0
