Parámetro,Valor,Tiempo (s),Objetivo,Nodos,Brecha (%)
mip.strategy.nodeselect,0.0,160.3604531288147,248479.99995000003,0,0.0
mip.strategy.nodeselect,1.0,162.8180000782013,248479.99995000003,0,0.0
mip.strategy.nodeselect,2.0,159.91900277137756,248479.99995000003,0,0.0
mip.strategy.nodeselect,3.0,160.00090837478638,248479.99995000003,0,0.0
mip.strategy.variableselect,-1.0,133.453280210495,248479.99995000003,0,0.0
mip.strategy.variableselect,0.0,161.43408012390137,248479.99995000003,0,0.0
mip.strategy.variableselect,1.0,157.03215169906616,248479.99995000003,0,0.0
mip.strategy.variableselect,2.0,159.46495914459229,248479.99995000003,0,0.0
mip.strategy.variableselect,3.0,159.33355951309204,248479.99995000003,0,0.0
mip.strategy.variableselect,4.0,159.6770396232605,248479.99995000003,0,0.0
preprocessing.presolve,0.0,144.82899713516235,248479.99995000003,0,0.0
preprocessing.presolve,1.0,160.6090109348297,248479.99995000003,0,0.0
mip.strategy.heuristiceffort,0.0,9628.414418458939,248479.99995000003,5249,0.0
mip.strategy.heuristiceffort,0.5,165.7610740661621,248479.99995000003,0,0.0
mip.strategy.heuristiceffort,1.0,160.3990352153778,248479.99995000003,0,0.0
mip.strategy.heuristiceffort,2.0,161.36196208000183,248479.99995000003,0,0.0
